question,type,database
What is the name of the user who wrote the review with the most recent date?,Evaluation query,grandstack
List the cities that have more than one business.,Evaluation query,grandstack
Find the names of businesses that have 'Market' in their name.,Evaluation query,grandstack
What is the average star rating of reviews written in 2016?,Evaluation query,grandstack
List the names of users who have written reviews for businesses in 'Missoula'.,Evaluation query,grandstack
Find the names of businesses that have received reviews with less than 3 stars.,Evaluation query,grandstack
Which user wrote a review for the business with the address '301 E Main St'?,Evaluation query,grandstack
List the years in which reviews were written.,Evaluation query,grandstack
Find the names of businesses that have received reviews from more than one user.,Evaluation query,grandstack
What is the average length of the review texts?,Evaluation query,grandstack
Which business received the most 5-star reviews?,Evaluation query,grandstack
List the names of users who have written reviews with at least 4 stars.,Evaluation query,grandstack
Find the names of businesses that have the word 'Brew' in their name.,Evaluation query,grandstack
What is the average number of reviews per business?,Evaluation query,grandstack
Which user wrote the shortest review?,Evaluation query,grandstack
List the states that have businesses with an average star rating greater than 4.,Evaluation query,grandstack
Find the names of businesses that have received reviews with the word 'great' in the text.,Evaluation query,grandstack
What is the total number of reviews written by all users?,Evaluation query,grandstack
"Which business received a review with the text ""Best breakfast sandwich at the Farmer's Market.""?",Evaluation query,grandstack
List the names of users who wrote reviews before 2017.,Evaluation query,grandstack
What is the date of the review with the highest star rating for 'KettleHouse Brewing Co.'?,Evaluation query,grandstack
Find the names of businesses that have 'Public' in their name.,Evaluation query,grandstack
What is the average number of words per review?,Evaluation query,grandstack
Which user wrote a review for a business in 'San Mateo'?,Evaluation query,grandstack
List the months in which the most reviews were written.,Evaluation query,grandstack
Find the names of businesses that have received reviews with the word 'Awesome' in the text.,Evaluation query,grandstack
What is the total number of businesses in the database?,Evaluation query,grandstack
"Which business received a review with the text ""Not a great selection of books, but fortunately the inter-library loan system is good. Wifi is quite slow. Not many comfortable places to site and read. Looking forward to the new building across the street in 2020!""?",Evaluation query,grandstack
List the names of users who have written reviews for businesses with 'Brewing' in their name.,Evaluation query,grandstack
What is the date of the review with the lowest star rating for 'Missoula Public Library'?,Evaluation query,grandstack
Find the names of businesses that have 'Co.' in their name.,Evaluation query,grandstack
What is the average number of characters in the review texts?,Evaluation query,grandstack
Which user wrote the longest review?,Evaluation query,grandstack
List the years in which reviews with an average star rating greater than 4 were written.,Evaluation query,grandstack
Find the names of businesses that have received reviews with the word 'selection' in the text.,Evaluation query,grandstack
"Which business received a review with the text ""The world's leading graph database HQ!""?",Evaluation query,grandstack
List the names of users who have written reviews for businesses in 'California'.,Evaluation query,grandstack
What is the date of the review with the highest star rating for 'Missoula Public Library'?,Evaluation query,grandstack
Find the names of businesses that have 'on' in their name.,Evaluation query,grandstack
What is the average number of reviews per user?,Evaluation query,grandstack
Which user wrote a review for a business in 'Burlingame'?,Evaluation query,grandstack
List the days of the week on which the most reviews were written.,Evaluation query,grandstack
Find the names of businesses that have received reviews with the word 'Love' in the text.,Evaluation query,grandstack
What is the total number of reviews with a star rating greater than 4?,Evaluation query,grandstack
Which business received a review on 2015-08-29?,Evaluation query,grandstack
List the names of users who have written reviews for businesses with 'House' in their name.,Evaluation query,grandstack
What is the date of the review with the lowest star rating for 'KettleHouse Brewing Co.'?,Evaluation query,grandstack
Find the names of businesses that have 'Library' in their name.,Evaluation query,grandstack
What is the average length of the business names?,Evaluation query,grandstack
Which user wrote a review for a business with 'Car Wash' in its name?,Evaluation query,grandstack
List the weekdays in which the least reviews were written.,Evaluation query,grandstack
Find the names of businesses that have received reviews with the word 'good' in the text.,Evaluation query,grandstack
What is the total number of distinct cities in the database?,Evaluation query,grandstack
Which businesses are located in the state of 'MT'?,Evaluation query,grandstack
List the names of users who have written at least two reviews.,Evaluation query,grandstack
What is the average rating for businesses in 'Missoula'?,Evaluation query,grandstack
Which business received the least 5-star reviews?,Evaluation query,grandstack
Which businesses in Missoula have received reviews with 5 stars?,Multi-step Queries,grandstack
What is the average star rating for businesses in Burlingame?,Multi-step Queries,grandstack
Which user wrote a review about 'Hanabi'?,Multi-step Queries,grandstack
What is the address of the business reviewed by the user named 'Will'?,Multi-step Queries,grandstack
What is the highest-rated business in San Mateo?,Multi-step Queries,grandstack
Which businesses are in the same city as 'Zootown Brew'?,Multi-step Queries,grandstack
What is the average star rating of reviews written by 'Jenny'?,Multi-step Queries,grandstack
List all businesses reviewed by users who also reviewed 'Neo4j'.,Multi-step Queries,grandstack
What is the date of the review written by 'Bob'?,Multi-step Queries,grandstack
Which business received a review with the text 'Great IPA selection!'?,Multi-step Queries,grandstack
Find all reviews with a star rating greater than 4.,Multi-step Queries,grandstack
List all users who wrote reviews before 2017.,Multi-step Queries,grandstack
What is the city of the business with the highest average star rating?,Multi-step Queries,grandstack
Which businesses have an average star rating above 4.5?,Multi-step Queries,grandstack
List all reviews for businesses in California.,Multi-step Queries,grandstack
What is the average star rating for businesses in the 'Library' category?,Multi-step Queries,grandstack
Find all businesses that have received at least 3 reviews.,Multi-step Queries,grandstack
What is the most recent review date for 'KettleHouse Brewing Co.'?,Multi-step Queries,grandstack
Which users have reviewed businesses in both California and Montana?,Multi-step Queries,grandstack
List the businesses ordered by the number of reviews they have received.,Multi-step Queries,grandstack
What is the average star rating for each category?,Multi-step Queries,grandstack
Which users have written reviews for businesses with 'Brew' in their name?,Multi-step Queries,grandstack
Find all businesses that have received reviews from at least two different users.,Multi-step Queries,grandstack
List all reviews with the word 'great' in the review text.,Multi-step Queries,grandstack
What is the average length of the reviews written by each user?,Multi-step Queries,grandstack
Find the user who wrote the longest review.,Multi-step Queries,grandstack
Which business has received the most 5-star reviews?,Multi-step Queries,grandstack
What is the date of the oldest review for businesses in San Mateo?,Multi-step Queries,grandstack
List all businesses that have received reviews with both 4 and 5 stars.,Multi-step Queries,grandstack
Find all users who have written reviews with a star rating lower than the average star rating.,Multi-step Queries,grandstack
What is the difference in the number of reviews between the most reviewed and least reviewed businesses?,Multi-step Queries,grandstack
List all businesses that have 'Market' in their name.,Multi-step Queries,grandstack
Find the review with the highest star rating for each business.,Multi-step Queries,grandstack
Which users have written reviews for businesses in the same city as them?,Multi-step Queries,grandstack
List all businesses that have received reviews within a specific date range.,Multi-step Queries,grandstack
Find all businesses that have not yet received any reviews.,Multi-step Queries,grandstack
What is the most common star rating given by each user?,Multi-step Queries,grandstack
List all reviews that contain a specific keyword in the review text.,Multi-step Queries,grandstack
Find the businesses with the highest and lowest average review lengths.,Multi-step Queries,grandstack
Which user has given the highest total star rating across all their reviews?,Multi-step Queries,grandstack
List all businesses that have received reviews from users who have also reviewed 'Imagine Nation Brewing'.,Multi-step Queries,grandstack
Find all businesses that have received reviews with a specific star rating and contain a specific keyword in the review text.,Multi-step Queries,grandstack
"List all reviews written for businesses that have 'Brewing' in their name, and sort them by date.",Multi-step Queries,grandstack
"What is the average star rating for each business, excluding the highest and lowest ratings?",Multi-step Queries,grandstack
Find all users who have written reviews for businesses in more than one category.,Multi-step Queries,grandstack
"List the top 5 businesses with the highest average star ratings, considering only reviews written in the last year.",Multi-step Queries,grandstack
Find all businesses where the average star rating of their reviews has increased over time.,Multi-step Queries,grandstack
List all users who have written reviews for businesses with an average star rating higher than 4.,Multi-step Queries,grandstack
What is the distribution of star ratings for each business in each city?,Multi-step Queries,grandstack
Find all businesses that have received reviews from users who have also reviewed businesses in a different state.,Multi-step Queries,grandstack
List the businesses ordered by the standard deviation of their star ratings.,Multi-step Queries,grandstack
What is the average number of words used in reviews for each category?,Multi-step Queries,grandstack
"Find all users who have written both positive and negative reviews (positive being above 4 stars, negative being below 3 stars).",Multi-step Queries,grandstack
List all reviews where the star rating is higher than the average star rating for that business.,Multi-step Queries,grandstack
What is the percentage of positive reviews for each business?,Multi-step Queries,grandstack
"Find all businesses that have received reviews from users who have also written reviews with a specific sentiment (positive, negative, neutral).",Multi-step Queries,grandstack
"List the top 3 users with the most helpful reviews, based on the number of other users who found their reviews helpful.",Multi-step Queries,grandstack
What is the average star rating for businesses located within a certain radius of a given location?,Multi-step Queries,grandstack
Find all businesses that have received reviews from users who have also reviewed businesses with a similar category.,Multi-step Queries,grandstack
List all reviews that mention a specific amenity or feature of a business.,Multi-step Queries,grandstack
What is the average time difference between the date of a review and the date the user joined the platform?,Multi-step Queries,grandstack
Find all businesses that have received a significant increase in reviews after a specific event or date.,Multi-step Queries,grandstack
List all users who have consistently given high ratings to businesses in a specific category.,Multi-step Queries,grandstack
What is the relationship between the length of a review and its star rating?,Multi-step Queries,grandstack
Find all businesses that have received reviews from users who have also visited businesses in the same neighborhood.,Multi-step Queries,grandstack
"List all reviews that express a specific sentiment (happy, disappointed, satisfied) about their experience.",Multi-step Queries,grandstack
What is the average star rating for businesses that offer a specific type of service or product?,Multi-step Queries,grandstack
Find all users who have reviewed businesses that are popular among their friends or social network.,Multi-step Queries,grandstack
"List all businesses that have a high proportion of repeat customers, based on the number of users who have written multiple reviews.",Multi-step Queries,grandstack
"What is the impact of user demographics (age, gender, location) on their review behavior?",Multi-step Queries,grandstack
Find all businesses that are highly recommended by users who share similar interests or preferences.,Multi-step Queries,grandstack
List all reviews that provide insightful information or helpful tips for other potential customers.,Multi-step Queries,grandstack
What is the correlation between the sentiment expressed in a review and the business's overall rating?,Multi-step Queries,grandstack
Find all businesses that have successfully addressed negative feedback or improved their services based on customer reviews.,Multi-step Queries,grandstack
List all users who are considered influential or trusted reviewers within the community.,Multi-step Queries,grandstack
What is the overall customer satisfaction level for businesses in each category and location?,Multi-step Queries,grandstack
What movies were released in 1999?,Simple Retrieval Queries,movies
Which actors have directed movies?,Simple Retrieval Queries,movies
List the movies with more than 100 votes.,Simple Retrieval Queries,movies
"What is the average rating for the movie ""Apollo 13""?",Simple Retrieval Queries,movies
Which actors were born before 1960?,Simple Retrieval Queries,movies
"What is the tagline for the movie ""Cloud Atlas""?",Simple Retrieval Queries,movies
"Who directed the movie ""Something's Gotta Give""?",Simple Retrieval Queries,movies
What movies has Keanu Reeves acted in?,Simple Retrieval Queries,movies
Which actors have written and directed the same movie?,Simple Retrieval Queries,movies
Who are the followers of Tom Hanks?,Simple Retrieval Queries,movies
What is the highest-rated movie?,Simple Retrieval Queries,movies
"What is the average rating given by the person who reviewed ""Apollo 13""?",Simple Retrieval Queries,movies
List the movies released after 2000 in chronological order.,Simple Retrieval Queries,movies
"What are the roles played by Hugo Weaving in the movie ""Cloud Atlas""?",Simple Retrieval Queries,movies
Which movie has the shortest tagline?,Simple Retrieval Queries,movies
Who are the top 3 actors with the most movies acted in?,Simple Retrieval Queries,movies
Which movies have a rating higher than 90?,Simple Retrieval Queries,movies
What is the average number of votes for movies released in the 1990s?,Simple Retrieval Queries,movies
List the movies directed by Nancy Meyers in order of release date.,Simple Retrieval Queries,movies
Which actor has acted in the most movies with Tom Hanks?,Simple Retrieval Queries,movies
Find the movies with the most diverse cast (most actors).,Simple Retrieval Queries,movies
What is the average age of actors at the time of a movie's release?,Simple Retrieval Queries,movies
"List all the movies with the summary ""A solid romp"".",Simple Retrieval Queries,movies
Which actor has collaborated with the most directors?,Simple Retrieval Queries,movies
Who are the top 5 actors with the highest average movie rating?,Simple Retrieval Queries,movies
Find all movies where an actor also worked as a director.,Simple Retrieval Queries,movies
What is the longest movie tagline in the dataset?,Simple Retrieval Queries,movies
Which year saw the release of the most movies?,Simple Retrieval Queries,movies
List all the movies with a rating between 75 and 90.,Simple Retrieval Queries,movies
Who are the actors who have worked with both Keanu Reeves and Tom Hanks?,Simple Retrieval Queries,movies
Find the movie with the highest difference between its release year and the director's birth year.,Simple Retrieval Queries,movies
"What is the average rating for movies with ""Fun"" in their summary?",Simple Retrieval Queries,movies
"Which actors have acted in movies with a tagline containing the word ""connected""?",Simple Retrieval Queries,movies
List the top 3 directors who have directed movies with the highest average votes.,Simple Retrieval Queries,movies
What is the most common movie summary?,Simple Retrieval Queries,movies
Who are the actors born in the same year as Tom Hanks?,Simple Retrieval Queries,movies
Find the movies released between 1990 and 2000 with more than 50 votes.,Simple Retrieval Queries,movies
Which actor has the highest average rating for their directed movies?,Simple Retrieval Queries,movies
What is the average number of roles played by actors in each movie?,Simple Retrieval Queries,movies
List all the movies where the director and writer are the same person.,Simple Retrieval Queries,movies
Who are the actors who have both directed and acted in movies with a rating higher than 80?,Simple Retrieval Queries,movies
Find the movie with the largest number of different roles for a single actor.,Simple Retrieval Queries,movies
"What is the average rating of movies released in the same year as ""Apollo 13""?",Simple Retrieval Queries,movies
"List the movies with taglines containing the word ""movie"" (case-insensitive).",Simple Retrieval Queries,movies
"Which actor has the highest number of connections (acted in, directed, etc.) to other people in the graph?",Simple Retrieval Queries,movies
Find the movies where the director also acted in a movie directed by one of their own actors.,Simple Retrieval Queries,movies
What is the average rating given by people who reviewed movies released after 2005?,Simple Retrieval Queries,movies
List all the movies with a tagline shorter than 10 characters.,Simple Retrieval Queries,movies
Who are the actors who have acted in movies with a rating lower than 60?,Simple Retrieval Queries,movies
Find the movie with the biggest age difference between the oldest and youngest actor in the cast.,Simple Retrieval Queries,movies
What is the average number of words in movie taglines?,Simple Retrieval Queries,movies
List the movies released before 1990 with no reviews.,Simple Retrieval Queries,movies
Who are the actors who have acted in movies directed by someone born in the same decade as them?,Simple Retrieval Queries,movies
Find the movie with the highest ratio of votes to its release year.,Simple Retrieval Queries,movies
"What is the average rating of movies with a tagline containing the word ""Real""?",Simple Retrieval Queries,movies
List the top 3 most common roles in movies.,Simple Retrieval Queries,movies
Who are the actors who have worked with directors that have also directed Tom Hanks?,Simple Retrieval Queries,movies
"Find the movies where the same person acted, directed, and wrote the screenplay.",Simple Retrieval Queries,movies
What is the average rating for movies with a tagline longer than 20 characters?,Simple Retrieval Queries,movies
List all the movies with at least two actors born in the same decade.,Simple Retrieval Queries,movies
"Who are the actors who have acted in movies with all the words from the following list in their taglines: [""Welcome"", ""to"", ""the""]?",Simple Retrieval Queries,movies
Find the movie with the smallest age difference between the director and the lead actor.,Simple Retrieval Queries,movies
What is the average length of movie summaries?,Simple Retrieval Queries,movies
List the movies with titles containing numbers in them.,Simple Retrieval Queries,movies
Who are the actors who have worked on movies with a higher than average number of actors?,Simple Retrieval Queries,movies
Find the movie with the highest number of shared connections between any two actors in the cast.,Simple Retrieval Queries,movies
What is the most common word in movie summaries?,Simple Retrieval Queries,movies
List all the movies where the director has also directed a movie with a higher rating.,Simple Retrieval Queries,movies
Who are the actors who have a higher average movie rating than Tom Hanks?,Simple Retrieval Queries,movies
Find the movie with the longest time gap between the director's birth year and the release year of their last movie.,Simple Retrieval Queries,movies
What is the average rating of movies with a title containing more than two words?,Simple Retrieval Queries,movies
List the movies with summaries containing more than five words but less than ten.,Simple Retrieval Queries,movies
Who are the actors who have worked with both male and female directors?,Simple Retrieval Queries,movies
Find the movie with the highest number of actors who have also directed a movie.,Simple Retrieval Queries,movies
What is the average number of years between the release of any two movies directed by the same person?,Simple Retrieval Queries,movies
List all the movies where the writer is also an actor in a movie directed by someone they have written for.,Simple Retrieval Queries,movies
Who are the actors who have acted in movies with titles containing all the vowels?,Simple Retrieval Queries,movies
Find the movie with the highest ratio of positive reviews (rating > 70) to total reviews.,Simple Retrieval Queries,movies
What is the average rating for movies released in the first half of the 1990s?,Simple Retrieval Queries,movies
List the movies with taglines ending in a question mark.,Simple Retrieval Queries,movies
Who are the actors who have worked with a director who has directed more than three movies?,Simple Retrieval Queries,movies
Find the movie with the shortest title.,Simple Retrieval Queries,movies
What is the average number of words in the summaries of movies released after 2000?,Simple Retrieval Queries,movies
List all the movies where the director's name starts with the same letter as the movie title.,Simple Retrieval Queries,movies
Who are the actors who have acted in movies with a rating higher than the average rating of all movies?,Simple Retrieval Queries,movies
Find the movie with the largest difference in release year between any two movies the director has worked on.,Simple Retrieval Queries,movies
What is the most common word in movie taglines?,Simple Retrieval Queries,movies
List the movies with titles containing only lowercase letters.,Simple Retrieval Queries,movies
Who are the actors who have worked with directors born in different decades?,Simple Retrieval Queries,movies
Find the movie with the highest number of actors who have acted in another movie with the same word in the title.,Simple Retrieval Queries,movies
What is the average rating of movies with a tagline containing an exclamation mark?,Simple Retrieval Queries,movies
List all the movies where at least two actors share the same birth year.,Simple Retrieval Queries,movies
Who are the actors who have worked on movies with an even number of actors?,Simple Retrieval Queries,movies
Find the movie with the highest difference in the number of votes between any two movies the same actor has worked on.,Simple Retrieval Queries,movies
What is the average length of movie titles?,Simple Retrieval Queries,movies
List the movies with taglines containing more than one comma.,Simple Retrieval Queries,movies
Who are the actors who have worked with a director who has also directed a movie with a rating lower than 60?,Simple Retrieval Queries,movies
Find the movie with the highest number of actors who have also written a movie.,Simple Retrieval Queries,movies
What is the average difference in birth year between actors and directors who have worked together?,Simple Retrieval Queries,movies
List all the movies where the director's name appears in the movie tagline.,Simple Retrieval Queries,movies
Which movies have a rating greater than 90?,Complex Retrieval Queries,movies
"Who directed the movie ""The Matrix""?",Complex Retrieval Queries,movies
List all the movies Keanu Reeves acted in.,Complex Retrieval Queries,movies
What is the average rating of movies released in 2003?,Complex Retrieval Queries,movies
Which actors have directed a movie they also acted in?,Complex Retrieval Queries,movies
Who are the people that Keanu Reeves follows?,Complex Retrieval Queries,movies
What is the highest-rated movie Keanu Reeves acted in?,Complex Retrieval Queries,movies
List the movies with the top 3 highest ratings.,Complex Retrieval Queries,movies
"Which movies have ""Fun"" in their review summary?",Complex Retrieval Queries,movies
Find the movies released between 1990 and 2000 with more than 1000 votes.,Complex Retrieval Queries,movies
Who wrote the movie with the highest number of votes?,Complex Retrieval Queries,movies
"What is the average rating given by people who reviewed ""The Matrix""?",Complex Retrieval Queries,movies
List all actors who have acted in more than 5 movies.,Complex Retrieval Queries,movies
What is the most common review summary?,Complex Retrieval Queries,movies
"Find the movies that have the word ""journey"" in their review summary.",Complex Retrieval Queries,movies
Which person has acted in movies with the widest release year span?,Complex Retrieval Queries,movies
List the actors born before 1960 who have acted in a movie with a rating above 80.,Complex Retrieval Queries,movies
Find all movies where the director and writer are the same person.,Complex Retrieval Queries,movies
What is the average number of roles played by actors in movies released in 2005?,Complex Retrieval Queries,movies
List the top 5 movies with the highest number of votes.,Complex Retrieval Queries,movies
Which person has directed the most movies?,Complex Retrieval Queries,movies
Find the movies with the lowest rating that were released after 2000.,Complex Retrieval Queries,movies
List all people who have written and directed the same movie.,Complex Retrieval Queries,movies
"What is the average rating of movies with ""compelling"" in the review summary?",Complex Retrieval Queries,movies
Which actors have acted in movies from different decades?,Complex Retrieval Queries,movies
"Find all movies where the tagline contains the word ""Real"".",Complex Retrieval Queries,movies
"List the movies released in the same year as ""The Matrix"".",Complex Retrieval Queries,movies
Who are the people who have reviewed the most movies?,Complex Retrieval Queries,movies
"What is the average rating for movies with the word ""Slapstick"" in the review summary?",Complex Retrieval Queries,movies
Find all movies with a rating between 75 and 90.,Complex Retrieval Queries,movies
List the actors who have worked with the same director on multiple movies.,Complex Retrieval Queries,movies
What is the average number of votes for movies released before 1990?,Complex Retrieval Queries,movies
Find the movies with the longest tagline.,Complex Retrieval Queries,movies
"Which person has acted in, directed, and produced a movie?",Complex Retrieval Queries,movies
List all movies that have been reviewed by more than one person.,Complex Retrieval Queries,movies
What is the average rating of movies with a tagline longer than 20 characters?,Complex Retrieval Queries,movies
Find the movies released between 1980 and 1990 that have a rating above 85.,Complex Retrieval Queries,movies
Which person has the highest average rating for the movies they directed?,Complex Retrieval Queries,movies
List all movies where the director and a lead actor were born in the same year.,Complex Retrieval Queries,movies
What is the most common role played by Keanu Reeves?,Complex Retrieval Queries,movies
"Find the movies with the word ""coolest"" in their review summary and were released before 2000.",Complex Retrieval Queries,movies
List the actors who have acted in movies with a rating difference of more than 20 points.,Complex Retrieval Queries,movies
What is the average number of words in the taglines of movies released after 2005?,Complex Retrieval Queries,movies
Find all movies where the director also has a writing credit.,Complex Retrieval Queries,movies
Which person has the highest average rating for movies they acted in?,Complex Retrieval Queries,movies
"List the movies with the review summary containing ""amazing"" and have a rating above 90.",Complex Retrieval Queries,movies
What is the average rating of movies where Keanu Reeves played more than one role?,Complex Retrieval Queries,movies
Find the movies with no reviews.,Complex Retrieval Queries,movies
List all actors born after 1970 who have acted in a movie with a rating below 60.,Complex Retrieval Queries,movies
"What is the average release year for movies with ""Dark"" in the review summary?",Complex Retrieval Queries,movies
"Find the movie with the highest rating that has the word ""football"" in its review summary.",Complex Retrieval Queries,movies
Which person has acted in the most movies with the same review summary?,Complex Retrieval Queries,movies
List all movies with a title containing a number.,Complex Retrieval Queries,movies
What is the average rating given by people born before 1950?,Complex Retrieval Queries,movies
"Find the movies released in the same year as ""Speed Racer"" but with a higher rating.",Complex Retrieval Queries,movies
Which person has the most diverse range of roles in their filmography?,Complex Retrieval Queries,movies
List all movies with a tagline that is also the title of another movie.,Complex Retrieval Queries,movies
What is the average number of words in the review summaries of movies released before 1985?,Complex Retrieval Queries,movies
Find the movie with the lowest rating where Keanu Reeves played a role.,Complex Retrieval Queries,movies
Which person has acted in the most movies with a single word title?,Complex Retrieval Queries,movies
List all movies with a tagline shorter than 10 characters.,Complex Retrieval Queries,movies
What is the average rating of movies with a release year after 2010?,Complex Retrieval Queries,movies
"Find the movie with the highest number of votes that has the word ""Welcome"" in its tagline.",Complex Retrieval Queries,movies
Which person has directed movies with the largest difference in rating?,Complex Retrieval Queries,movies
List all movies where the director and writer are different people.,Complex Retrieval Queries,movies
"What is the average number of votes for movies with the word ""Silly"" in their review summary?",Complex Retrieval Queries,movies
"Find the movies released in the same decade as ""The Matrix"" but with a lower number of votes.",Complex Retrieval Queries,movies
Which person has acted in movies with the most distinct review summaries?,Complex Retrieval Queries,movies
List all movies with a tagline that is a question.,Complex Retrieval Queries,movies
What is the average rating of movies with a title longer than 2 words?,Complex Retrieval Queries,movies
"Find the movie with the highest rating that does not have the word ""movie"" in its review summary.",Complex Retrieval Queries,movies
Which person has the highest average rating for movies they wrote?,Complex Retrieval Queries,movies
List all movies with a release year between 1985 and 1995 and a rating above 90.,Complex Retrieval Queries,movies
What is the average number of roles played by actors in movies with a rating below 60?,Complex Retrieval Queries,movies
"Find the movie with the lowest number of votes that has the word ""times"" in its review summary.",Complex Retrieval Queries,movies
"Which person has acted in the most movies with a tagline containing the word ""World""?",Complex Retrieval Queries,movies
List all movies where at least two actors share the same birth year.,Complex Retrieval Queries,movies
What is the average length of movie titles released after 2000?,Complex Retrieval Queries,movies
Find the movie with the highest rating that also has the lowest number of votes.,Complex Retrieval Queries,movies
Which person has directed a movie with the highest number of actors?,Complex Retrieval Queries,movies
List all movies with a tagline that starts with a verb.,Complex Retrieval Queries,movies
What is the average number of words in the review summaries of movies with a rating above 95?,Complex Retrieval Queries,movies
"Find the movie with the lowest rating that has the word ""redeemed"" in its review summary.",Complex Retrieval Queries,movies
Which person has acted in the most movies with a different genre? (Note: Genre information is not available in the provided schema. This question is for demonstration purposes only),Complex Retrieval Queries,movies
List all movies with a title that is a person's name.,Complex Retrieval Queries,movies
What is the average release year of movies with a tagline longer than 30 characters?,Complex Retrieval Queries,movies
"Find the movie with the highest number of votes that does not have the word ""the"" in its title.",Complex Retrieval Queries,movies
Which person has directed movies across the most diverse set of genres? (Note: Genre information is not available in the provided schema. This question is for demonstration purposes only),Complex Retrieval Queries,movies
List all movies with a tagline that is a complete sentence.,Complex Retrieval Queries,movies
"What is the average rating of movies with a title containing the word ""Love""? (Note: There may not be any movies with ""Love"" in the title based on the provided data. This question is for demonstration purposes only)",Complex Retrieval Queries,movies
"Find the movie with the lowest rating that has the word ""Welcome"" in its tagline.",Complex Retrieval Queries,movies
Which person has the most diverse filmography in terms of roles and genres? (Note: Genre information is not available in the provided schema. This question is for demonstration purposes only),Complex Retrieval Queries,movies
List all movies with a title that is also a common phrase.,Complex Retrieval Queries,movies
What is the average length of review summaries for movies released before 1990?,Complex Retrieval Queries,movies
"Find the movie with the highest number of votes that does not have the word ""a"" in its title.",Complex Retrieval Queries,movies
Which person has collaborated with the most diverse set of directors?,Complex Retrieval Queries,movies
List all movies with a tagline that contains a colon.,Complex Retrieval Queries,movies
What is the average rating of movies with a title that is a plural noun?,Complex Retrieval Queries,movies
Which movies did Keanu Reeves act in?,Simple Aggregation Queries,movies
What is the average rating for movies released in 2003?,Simple Aggregation Queries,movies
Who are the people born before 1950?,Simple Aggregation Queries,movies
What are the titles of the top 5 highest-rated movies?,Simple Aggregation Queries,movies
Show me the movies with the rating between 80 and 90.,Simple Aggregation Queries,movies
What is the average number of roles played by Keanu Reeves in his movies?,Simple Aggregation Queries,movies
List the movies released after 2005 with a rating above 85.,Simple Aggregation Queries,movies
What are the taglines of movies released before 1990?,Simple Aggregation Queries,movies
"Which people acted in movies with the word ""Atlas"" in the title?",Simple Aggregation Queries,movies
Show me the people who have directed movies with less than 60 votes.,Simple Aggregation Queries,movies
What is the highest rating given to a movie?,Simple Aggregation Queries,movies
List the names of people born after 1970 in alphabetical order.,Simple Aggregation Queries,movies
What is the average rating of movies acted by Tom Hanks?,Simple Aggregation Queries,movies
What are the titles of the movies directed by the person born in 1949?,Simple Aggregation Queries,movies
Which people have acted in more than 5 movies?,Simple Aggregation Queries,movies
List the movies with a rating below 60 and released after 1995.,Simple Aggregation Queries,movies
What is the most recent movie Hugo Weaving acted in?,Simple Aggregation Queries,movies
Which people have written and directed the same movie?,Simple Aggregation Queries,movies
"Show me the movies with a tagline containing the word ""connected"".",Simple Aggregation Queries,movies
"What is the average rating of movies with the summary ""A solid romp""?",Simple Aggregation Queries,movies
List the names of people who have directed movies with more than 80 votes.,Simple Aggregation Queries,movies
What is the oldest movie Keanu Reeves acted in?,Simple Aggregation Queries,movies
Which people have acted in movies with a rating above 95?,Simple Aggregation Queries,movies
Show me the movies released between 1980 and 1990 with a rating below 70.,Simple Aggregation Queries,movies
List the names of people who acted in movies directed by Nancy Meyers.,Simple Aggregation Queries,movies
"Which people have directed movies with the word ""Give"" in the title?",Simple Aggregation Queries,movies
What is the highest number of votes received by a movie released before 2000?,Simple Aggregation Queries,movies
"Show me the movies with a tagline containing the word ""Real"".",Simple Aggregation Queries,movies
"What is the average rating of movies with the summary ""Dark, but compelling""?",Simple Aggregation Queries,movies
List the names of people who have acted in more than 3 movies with a rating above 80.,Simple Aggregation Queries,movies
What is the oldest movie with a rating above 90?,Simple Aggregation Queries,movies
Which people have acted in movies released in the same year they were born?,Simple Aggregation Queries,movies
"Show me the movies released before 1985 with a tagline containing the word ""problem"".",Simple Aggregation Queries,movies
What is the average number of votes for movies directed by people born before 1960?,Simple Aggregation Queries,movies
List the names of people who have acted in movies with a rating below 50.,Simple Aggregation Queries,movies
Which people have directed movies with the same title?,Simple Aggregation Queries,movies
What is the highest number of roles played by an actor in a single movie?,Simple Aggregation Queries,movies
"Show me the movies with a tagline containing the word ""journey"".",Simple Aggregation Queries,movies
"What is the average rating of movies with the summary ""Silly, but fun""?",Simple Aggregation Queries,movies
List the names of people who have acted in movies with more than 150 votes.,Simple Aggregation Queries,movies
"What is the oldest movie with the summary ""An amazing journey""?",Simple Aggregation Queries,movies
Which people have acted in movies directed by people older than them?,Simple Aggregation Queries,movies
"Show me the movies released after 2000 with a tagline containing the word ""Welcome"".",Simple Aggregation Queries,movies
What is the average number of votes for movies with a rating above 90?,Simple Aggregation Queries,movies
List the names of people who have acted in at least 2 movies with Keanu Reeves.,Simple Aggregation Queries,movies
Which people have directed movies with a running time longer than 120 minutes?,Simple Aggregation Queries,movies
What is the highest rating given to a movie released before 1990?,Simple Aggregation Queries,movies
"Show me the movies with a tagline containing the word ""Ever"".",Simple Aggregation Queries,movies
"What is the average rating of movies with the summary ""You had me at Jerry""?",Simple Aggregation Queries,movies
List the names of people who have acted in movies with less than 40 votes.,Simple Aggregation Queries,movies
"What is the oldest movie with the summary ""Slapstick redeemed only by the Robin Williams and ""?",Simple Aggregation Queries,movies
